date,county,state,cases,deaths,type,SAH
2020-02-20,Maricopa,Arizona,1,0,Stay at home,0
2020-02-20,Humboldt,California,1,0,Stay at home,0
2020-02-20,Los Angeles,California,1,0,Stay at home,0
2020-02-20,Orange,California,1,0,Stay at home,0
2020-02-20,San Diego,California,1,0,Stay at home,0
2020-02-20,San Francisco,California,2,0,Stay at home,0
2020-02-20,Santa Clara,California,2,0,Stay at home,0
2020-02-20,Cook,Illinois,2,0,Stay at home,0
2020-02-20,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-20,Douglas,Nebraska,11,0,,0
2020-02-20,Bexar,Texas,2,0,Stay at home,0
2020-02-20,Bexar,Texas,2,0,Stay at home,0
2020-02-20,Snohomish,Washington,1,0,Stay at home,0
2020-02-20,Dane,Wisconsin,1,0,Stay at home,0
2020-02-21,Maricopa,Arizona,1,0,Stay at home,0
2020-02-21,Humboldt,California,1,0,Stay at home,0
2020-02-21,Los Angeles,California,1,0,Stay at home,0
2020-02-21,Orange,California,1,0,Stay at home,0
2020-02-21,Sacramento,California,1,0,Stay at home,0
2020-02-21,San Diego,California,1,0,Stay at home,0
2020-02-21,San Francisco,California,2,0,Stay at home,0
2020-02-21,Santa Clara,California,2,0,Stay at home,0
2020-02-21,Cook,Illinois,2,0,Stay at home,0
2020-02-21,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-21,Douglas,Nebraska,11,0,,0
2020-02-21,Bexar,Texas,4,0,Stay at home,0
2020-02-21,Bexar,Texas,4,0,Stay at home,0
2020-02-21,Snohomish,Washington,1,0,Stay at home,0
2020-02-21,Dane,Wisconsin,1,0,Stay at home,0
2020-02-22,Maricopa,Arizona,1,0,Stay at home,0
2020-02-22,Humboldt,California,1,0,Stay at home,0
2020-02-22,Los Angeles,California,1,0,Stay at home,0
2020-02-22,Orange,California,1,0,Stay at home,0
2020-02-22,Sacramento,California,1,0,Stay at home,0
2020-02-22,San Diego,California,1,0,Stay at home,0
2020-02-22,San Francisco,California,2,0,Stay at home,0
2020-02-22,Santa Clara,California,2,0,Stay at home,0
2020-02-22,Cook,Illinois,2,0,Stay at home,0
2020-02-22,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-22,Douglas,Nebraska,11,0,,0
2020-02-22,Bexar,Texas,4,0,Stay at home,0
2020-02-22,Bexar,Texas,4,0,Stay at home,0
2020-02-22,Snohomish,Washington,1,0,Stay at home,0
2020-02-22,Dane,Wisconsin,1,0,Stay at home,0
2020-02-23,Maricopa,Arizona,1,0,Stay at home,0
2020-02-23,Humboldt,California,1,0,Stay at home,0
2020-02-23,Los Angeles,California,1,0,Stay at home,0
2020-02-23,Orange,California,1,0,Stay at home,0
2020-02-23,Sacramento,California,1,0,Stay at home,0
2020-02-23,San Diego,California,1,0,Stay at home,0
2020-02-23,San Francisco,California,2,0,Stay at home,0
2020-02-23,Santa Clara,California,2,0,Stay at home,0
2020-02-23,Cook,Illinois,2,0,Stay at home,0
2020-02-23,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-23,Douglas,Nebraska,11,0,,0
2020-02-23,Bexar,Texas,4,0,Stay at home,0
2020-02-23,Bexar,Texas,4,0,Stay at home,0
2020-02-23,Snohomish,Washington,1,0,Stay at home,0
2020-02-23,Dane,Wisconsin,1,0,Stay at home,0
2020-02-24,Maricopa,Arizona,1,0,Stay at home,0
2020-02-24,Humboldt,California,1,0,Stay at home,0
2020-02-24,Los Angeles,California,1,0,Stay at home,0
2020-02-24,Orange,California,1,0,Stay at home,0
2020-02-24,Sacramento,California,1,0,Stay at home,0
2020-02-24,San Diego,California,1,0,Stay at home,0
2020-02-24,San Francisco,California,3,0,Stay at home,0
2020-02-24,Santa Clara,California,2,0,Stay at home,0
2020-02-24,Solano,California,1,0,Stay at home,0
2020-02-24,Cook,Illinois,2,0,Stay at home,0
2020-02-24,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-24,Douglas,Nebraska,12,0,,0
2020-02-24,Bexar,Texas,10,0,Stay at home,0
2020-02-24,Bexar,Texas,10,0,Stay at home,0
2020-02-24,Snohomish,Washington,1,0,Stay at home,0
2020-02-24,Spokane,Washington,4,0,Stay at home,0
2020-02-24,Dane,Wisconsin,1,0,Stay at home,0
2020-02-25,Maricopa,Arizona,1,0,Stay at home,0
2020-02-25,Humboldt,California,1,0,Stay at home,0
2020-02-25,Los Angeles,California,1,0,Stay at home,0
2020-02-25,Orange,California,1,0,Stay at home,0
2020-02-25,Sacramento,California,1,0,Stay at home,0
2020-02-25,San Diego,California,1,0,Stay at home,0
2020-02-25,San Francisco,California,3,0,Stay at home,0
2020-02-25,Santa Clara,California,2,0,Stay at home,0
2020-02-25,Solano,California,1,0,Stay at home,0
2020-02-25,Cook,Illinois,2,0,Stay at home,0
2020-02-25,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-25,Douglas,Nebraska,13,0,,0
2020-02-25,Bexar,Texas,10,0,Stay at home,0
2020-02-25,Bexar,Texas,10,0,Stay at home,0
2020-02-25,Salt Lake,Utah,1,0,Stay at home,0
2020-02-25,Snohomish,Washington,1,0,Stay at home,0
2020-02-25,Spokane,Washington,4,0,Stay at home,0
2020-02-25,Dane,Wisconsin,1,0,Stay at home,0
2020-02-26,Maricopa,Arizona,1,0,Stay at home,0
2020-02-26,Humboldt,California,1,0,Stay at home,0
2020-02-26,Los Angeles,California,1,0,Stay at home,0
2020-02-26,Marin,California,1,0,Stay at home,0
2020-02-26,Napa,California,1,0,Stay at home,0
2020-02-26,Orange,California,1,0,Stay at home,0
2020-02-26,Sacramento,California,3,0,Stay at home,0
2020-02-26,San Diego,California,1,0,Stay at home,0
2020-02-26,San Francisco,California,3,0,Stay at home,0
2020-02-26,Santa Clara,California,2,0,Stay at home,0
2020-02-26,Solano,California,11,0,Stay at home,0
2020-02-26,Sonoma,California,1,0,Stay at home,0
2020-02-26,Cook,Illinois,2,0,Stay at home,0
2020-02-26,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-26,Douglas,Nebraska,13,0,,0
2020-02-26,Bexar,Texas,10,0,Stay at home,0
2020-02-26,Bexar,Texas,10,0,Stay at home,0
2020-02-26,Salt Lake,Utah,1,0,Stay at home,0
